"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"words",-0.315146427477477,0.286929073241957,-0.556726002517085,0.0405007961449914,0.70655763722443,-0.0816563607302501,0.0296400181014276,0.000541450580595614
"links",-0.273028433879471,0.54321923365792,0.137758356491593,-0.755005883020466,-0.195878946906659,-0.0424319400514432,0.00943486950569777,0.033151804751271
"extlinks",-0.323457908331223,0.189404358904659,-0.540762227067332,0.329576289265585,-0.670595394004795,-0.00459527505617111,0.093026087254356,-0.00913793050251682
"categories",-0.229617742154965,0.544647671683379,0.567847330008055,0.561920341383973,0.0842932652853923,-0.0589620169026368,0.0115925828575736,0.0413918346073513
"revisions.total",-0.421782994432675,-0.208416447260471,0.0462399332299232,0.00310767343795521,-0.00829391795531917,0.219388265647542,-0.80577551571699,0.281140034771923
"revisions.anonymous",-0.408115516732165,-0.272717490925305,0.131487610671473,-0.040668929986124,0.0638484199965372,0.462894994144528,0.57120245583576,0.442157550683706
"revisions.unique",-0.420854900405882,-0.21063349918045,0.139463663107152,-0.0305013240222344,0.0323326139008664,0.208576995835905,0.0447994321168559,-0.84355052456945
"revisions.vandalisms",-0.383680675798705,-0.357618172564163,0.131632748225956,-0.0368354630951201,-0.0203322077719883,-0.825909670197573,0.112653429940752,0.104801587046214
